row,id,slug,catalog_relation,quality_status,category,requires_human_decision,note
10,9,daisy-edt,NEW,REJECTED,F,false,family: dejado 'pending' a propósito (Cowork no inventó el dato) — /family must NOT have fewer than 1 characters
14,13,boss-bottled-edt,NEW,REJECTED,F,false,top_notes: dejado 'pending' a propósito (Cowork no inventó el dato) — /top_notes must NOT have fewer than 1 items
14,13,boss-bottled-edt,NEW,REJECTED,F,false,middle_notes: dejado 'pending' a propósito (Cowork no inventó el dato) — /middle_notes must NOT have fewer than 1 items
14,13,boss-bottled-edt,NEW,REJECTED,F,false,base_notes: dejado 'pending' a propósito (Cowork no inventó el dato) — /base_notes must NOT have fewer than 1 items
15,14,chloe-edp,NEW,REJECTED,F,false,family: dejado 'pending' a propósito (Cowork no inventó el dato) — /family must NOT have fewer than 1 characters
19,18,philosykos-edt,NEW,REJECTED,F,false,family: dejado 'pending' a propósito (Cowork no inventó el dato) — /family must NOT have fewer than 1 characters
19,18,philosykos-edt,NEW,REJECTED,F,false,top_notes: dejado 'pending' a propósito (Cowork no inventó el dato) — /top_notes must NOT have fewer than 1 items
19,18,philosykos-edt,NEW,REJECTED,F,false,middle_notes: dejado 'pending' a propósito (Cowork no inventó el dato) — /middle_notes must NOT have fewer than 1 items
19,18,philosykos-edt,NEW,REJECTED,F,false,base_notes: dejado 'pending' a propósito (Cowork no inventó el dato) — /base_notes must NOT have fewer than 1 items
20,19,do-son-edt,NEW,REJECTED,F,false,family: dejado 'pending' a propósito (Cowork no inventó el dato) — /family must NOT have fewer than 1 characters
20,19,do-son-edt,NEW,REJECTED,F,false,top_notes: dejado 'pending' a propósito (Cowork no inventó el dato) — /top_notes must NOT have fewer than 1 items
20,19,do-son-edt,NEW,REJECTED,F,false,middle_notes: dejado 'pending' a propósito (Cowork no inventó el dato) — /middle_notes must NOT have fewer than 1 items
20,19,do-son-edt,NEW,REJECTED,F,false,base_notes: dejado 'pending' a propósito (Cowork no inventó el dato) — /base_notes must NOT have fewer than 1 items
23,22,ambre-sultan-edp,NEW,REJECTED,F,false,family: dejado 'pending' a propósito (Cowork no inventó el dato) — /family must NOT have fewer than 1 characters
23,22,ambre-sultan-edp,NEW,REJECTED,F,false,top_notes: dejado 'pending' a propósito (Cowork no inventó el dato) — /top_notes must NOT have fewer than 1 items
23,22,ambre-sultan-edp,NEW,REJECTED,F,false,middle_notes: dejado 'pending' a propósito (Cowork no inventó el dato) — /middle_notes must NOT have fewer than 1 items
23,22,ambre-sultan-edp,NEW,REJECTED,F,false,base_notes: dejado 'pending' a propósito (Cowork no inventó el dato) — /base_notes must NOT have fewer than 1 items
26,25,halfeti-edp,NEW,REJECTED,F,false,family: dejado 'pending' a propósito (Cowork no inventó el dato) — /family must NOT have fewer than 1 characters
31,30,angels-share-edp,NEW,REJECTED,F,false,family: dejado 'pending' a propósito (Cowork no inventó el dato) — /family must NOT have fewer than 1 characters
33,32,eau-rose-edt,NEW,REJECTED,F,false,family: dejado 'pending' a propósito (Cowork no inventó el dato) — /family must NOT have fewer than 1 characters
33,32,eau-rose-edt,NEW,REJECTED,F,false,top_notes: dejado 'pending' a propósito (Cowork no inventó el dato) — /top_notes must NOT have fewer than 1 items
33,32,eau-rose-edt,NEW,REJECTED,F,false,middle_notes: dejado 'pending' a propósito (Cowork no inventó el dato) — /middle_notes must NOT have fewer than 1 items
33,32,eau-rose-edt,NEW,REJECTED,F,false,base_notes: dejado 'pending' a propósito (Cowork no inventó el dato) — /base_notes must NOT have fewer than 1 items
37,36,bat-extrait,NEW,REJECTED,F,false,family: dejado 'pending' a propósito (Cowork no inventó el dato) — /family must NOT have fewer than 1 characters
